Experiment: mabra_270524_senescence  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Tm1	Tm2	Status
True	255	A1	cDNA01	79.72		
True	255	A2	cDNA02	90.89		
True	3200768	A3	cDNA04	79.37	87.77	
True	255	A4	cDNA05	77.05		
True	16744448	A5	Sample 5			
True	16744448	A6	Sample 6			
True	16744448	A7	Sample 7			
True	16744448	A8	Sample 8			
True	255	A9	cDNA01	79.65		
True	3200768	A10	cDNA02	79.69	89.95	
True	3200768	A11	cDNA04	79.35	87.74	
True	255	A12	cDNA05	77.05		
True	16744448	A13	Sample 13			
True	16744448	A14	Sample 14			
True	16744448	A15	Sample 15			
True	16744448	A16	Sample 16			
True	255	A17	cDNA01	79.77		
True	255	A18	cDNA02	91.00		
True	3200768	A19	cDNA04	79.52	88.06	
True	255	A20	cDNA05	77.23		
True	16744448	A21	Sample 21			
True	16744448	A22	Sample 22			
True	16744448	A23	Sample 23			
True	16744448	A24	Sample 24			
True	255	B1	cDNA01	77.14		
True	255	B2	cDNA03	77.13		
True	255	B3	cDNA05	79.56		
True	255	B4	cDNA06	90.79		
True	16744448	B5	Sample 29			
True	16744448	B6	Sample 30			
True	16744448	B7	Sample 31			
True	16744448	B8	Sample 32			
True	255	B9	cDNA01	77.14		
True	3200768	B10	cDNA03	80.78	85.83	
True	255	B11	cDNA05	79.59		
True	3200768	B12	cDNA06	75.73	84.78	
True	16744448	B13	Sample 37			
True	16744448	B14	Sample 38			
True	16744448	B15	Sample 39			
True	16744448	B16	Sample 40			
True	255	B17	cDNA01	77.24		
True	255	B18	cDNA03	90.45		
True	255	B19	cDNA05	79.72		
True	3200768	B20	cDNA06	79.76	90.12	
True	16744448	B21	Sample 45			
True	16744448	B22	Sample 46			
True	16744448	B23	Sample 47			
True	16744448	B24	Sample 48			
True	255	C1	cDNA01	85.22		
True	255	C2	cDNA02	78.17		
True	255	C3	cDNA04	77.76		
True	255	C4	cDNA05	83.35		
True	16744448	C5	Sample 53			
True	16744448	C6	Sample 54			
True	16744448	C7	Sample 55			
True	16744448	C8	Sample 56			
True	255	C9	cDNA01	85.09		
True	255	C10	cDNA02	78.13		
True	255	C11	cDNA04	77.63		
